files: 988
trials: 100
path_a path_b min max mean variance std_dev rel_std_dev
/home/falkor/source/idhash/duplicates/1_a.jpg /home/falkor/source/idhash/duplicates/1_b.jpg 0 36 18.64 80.45 8.97 48.12
/home/falkor/source/idhash/duplicates/2_a.jpg /home/falkor/source/idhash/duplicates/2_b.jpg 6 34 21.68 41.26 6.42 29.63
/home/falkor/source/idhash/duplicates/3_a.jpg /home/falkor/source/idhash/duplicates/3_b.jpg 0 36 21.82 51.25 7.16 32.81
/home/falkor/source/idhash/duplicates/4_a.jpg /home/falkor/source/idhash/duplicates/4_b.jpg 1 37 23.75 50.21 7.09 29.83
/home/falkor/source/idhash/duplicates/5_a.jpg /home/falkor/source/idhash/duplicates/5_b.jpg 2 38 22.12 52.61 7.25 32.79
/home/falkor/source/idhash/duplicates/6_a.jpg /home/falkor/source/idhash/duplicates/6_b.jpg 2 34 21.91 38.50 6.20 28.32
/home/falkor/source/idhash/duplicates/7_a.jpg /home/falkor/source/idhash/duplicates/7_b.jpg 4 43 24.95 43.69 6.61 26.49
/home/falkor/source/idhash/duplicates/8_a.jpg /home/falkor/source/idhash/duplicates/8_b.jpg 2 36 22.41 42.24 6.50 29.00
/home/falkor/source/idhash/duplicates/9_a.jpg /home/falkor/source/idhash/duplicates/9_b.jpg 4 39 22.82 54.67 7.39 32.40
/home/falkor/source/idhash/duplicates/10_a.jpg /home/falkor/source/idhash/duplicates/10_b.jpg 7 34 21.81 32.33 5.69 26.07
/home/falkor/source/idhash/duplicates/11_a.jpg /home/falkor/source/idhash/duplicates/11_b.jpg 5 37 22.72 40.84 6.39 28.13
/home/falkor/source/idhash/duplicates/12_a.jpg /home/falkor/source/idhash/duplicates/12_b.jpg 6 41 23.51 59.93 7.74 32.93
/home/falkor/source/idhash/duplicates/13_a.jpg /home/falkor/source/idhash/duplicates/13_b.jpg 3 39 24.55 47.01 6.86 27.93
/home/falkor/source/idhash/duplicates/14_a.jpg /home/falkor/source/idhash/duplicates/14_b.jpg 6 43 22.02 37.28 6.11 27.73
/home/falkor/source/idhash/duplicates/15_a.jpg /home/falkor/source/idhash/duplicates/15_b.jpg 13 39 24.08 26.67 5.16 21.45
/home/falkor/source/idhash/duplicates/16_a.jpg /home/falkor/source/idhash/duplicates/16_b.jpg 2 35 21.26 39.31 6.27 29.49
/home/falkor/source/idhash/duplicates/17_a.jpg /home/falkor/source/idhash/duplicates/17_b.jpg 0 39 23.09 45.66 6.76 29.27
/home/falkor/source/idhash/duplicates/18_a.jpg /home/falkor/source/idhash/duplicates/18_b.jpg 9 39 24.03 39.19 6.26 26.05
/home/falkor/source/idhash/duplicates/19_a.jpg /home/falkor/source/idhash/duplicates/19_b.jpg 7 38 23.56 44.91 6.70 28.44
/home/falkor/source/idhash/duplicates/20_a.jpg /home/falkor/source/idhash/duplicates/20_b.jpg 0 42 22.99 53.97 7.35 31.95
/home/falkor/source/idhash/duplicates/21_a.jpg /home/falkor/source/idhash/duplicates/21_b.jpg 0 41 24.90 51.03 7.14 28.69
/home/falkor/source/idhash/duplicates/22_a.jpg /home/falkor/source/idhash/duplicates/22_b.jpg 4 39 24.52 48.31 6.95 28.35
/home/falkor/source/idhash/duplicates/23_a.jpg /home/falkor/source/idhash/duplicates/23_b.jpg 2 39 23.67 52.54 7.25 30.62
/home/falkor/source/idhash/duplicates/24_a.jpg /home/falkor/source/idhash/duplicates/24_b.jpg 2 35 19.99 48.93 6.99 34.99
/home/falkor/source/idhash/duplicates/25_a.jpg /home/falkor/source/idhash/duplicates/25_b.jpg 1 31 17.94 43.22 6.57 36.64
/home/falkor/source/idhash/duplicates/26_a.jpg /home/falkor/source/idhash/duplicates/26_b.jpg 5 36 24.07 38.01 6.16 25.61
/home/falkor/source/idhash/duplicates/27_a.jpg /home/falkor/source/idhash/duplicates/27_b.jpg 6 39 22.89 43.38 6.59 28.77
/home/falkor/source/idhash/duplicates/28_a.jpg /home/falkor/source/idhash/duplicates/28_b.jpg 3 35 23.35 35.67 5.97 25.58
/home/falkor/source/idhash/duplicates/29_a.jpg /home/falkor/source/idhash/duplicates/29_b.jpg 6 41 24.18 47.43 6.89 28.48
/home/falkor/source/idhash/duplicates/30_a.jpg /home/falkor/source/idhash/duplicates/30_b.jpg 5 37 23.22 39.69 6.30 27.13
/home/falkor/source/idhash/duplicates/31_a.jpg /home/falkor/source/idhash/duplicates/31_b.jpg 9 37 22.99 34.67 5.89 25.61
/home/falkor/source/idhash/duplicates/32_a.jpg /home/falkor/source/idhash/duplicates/32_b.jpg 8 38 23.78 51.05 7.15 30.05
/home/falkor/source/idhash/duplicates/33_a.jpg /home/falkor/source/idhash/duplicates/33_b.jpg 6 37 22.81 46.45 6.82 29.88
/home/falkor/source/idhash/duplicates/34_a.jpg /home/falkor/source/idhash/duplicates/34_b.jpg 6 41 23.68 40.92 6.40 27.01
/home/falkor/source/idhash/duplicates/35_a.jpg /home/falkor/source/idhash/duplicates/35_b.jpg 4 34 21.79 54.39 7.37 33.84
/home/falkor/source/idhash/duplicates/36_a.jpg /home/falkor/source/idhash/duplicates/36_b.jpg 6 38 24.57 38.79 6.23 25.35
/home/falkor/source/idhash/duplicates/37_a.jpg /home/falkor/source/idhash/duplicates/37_b.jpg 3 39 22.90 43.33 6.58 28.74
/home/falkor/source/idhash/duplicates/38_a.jpg /home/falkor/source/idhash/duplicates/38_b.jpg 2 43 24.50 59.67 7.72 31.53
/home/falkor/source/idhash/duplicates/39_a.jpg /home/falkor/source/idhash/duplicates/39_b.jpg 4 36 22.13 44.05 6.64 29.99
/home/falkor/source/idhash/duplicates/40_a.jpg /home/falkor/source/idhash/duplicates/40_b.jpg 4 41 23.16 42.97 6.56 28.31
/home/falkor/source/idhash/duplicates/41_a.jpg /home/falkor/source/idhash/duplicates/41_b.jpg 5 38 21.92 38.27 6.19 28.22
/home/falkor/source/idhash/duplicates/42_a.jpg /home/falkor/source/idhash/duplicates/42_b.jpg 3 42 26.28 60.66 7.79 29.64
/home/falkor/source/idhash/duplicates/43_a.jpg /home/falkor/source/idhash/duplicates/43_b.jpg 0 37 20.31 60.53 7.78 38.31
/home/falkor/source/idhash/duplicates/44_a.jpg /home/falkor/source/idhash/duplicates/44_b.jpg 3 40 23.13 52.39 7.24 31.29
/home/falkor/source/idhash/duplicates/45_a.jpg /home/falkor/source/idhash/duplicates/45_b.jpg 0 32 21.27 36.78 6.06 28.51
/home/falkor/source/idhash/duplicates/46_a.jpg /home/falkor/source/idhash/duplicates/46_b.jpg 3 41 22.88 58.97 7.68 33.56
/home/falkor/source/idhash/duplicates/47_a.jpg /home/falkor/source/idhash/duplicates/47_b.jpg 7 42 24.69 47.81 6.91 28.01
/home/falkor/source/idhash/duplicates/48_a.jpg /home/falkor/source/idhash/duplicates/48_b.jpg 3 39 22.07 44.01 6.63 30.06
/home/falkor/source/idhash/duplicates/49_a.jpg /home/falkor/source/idhash/duplicates/49_b.jpg 8 40 25.35 43.35 6.58 25.97
/home/falkor/source/idhash/duplicates/50_a.jpg /home/falkor/source/idhash/duplicates/50_b.jpg 0 38 20.44 59.57 7.72 37.76
/home/falkor/source/idhash/duplicates/51_a.jpg /home/falkor/source/idhash/duplicates/51_b.jpg 5 34 21.48 36.27 6.02 28.04
