files: 988
trials: 100
path_a path_b min max mean variance std_dev rel_std_dev
/home/falkor/source/idhash/non-duplicates/1_a.jpg /home/falkor/source/idhash/non-duplicates/1_b.jpg 0 44 31.49 32.13 5.67 18.00
/home/falkor/source/idhash/non-duplicates/2_a.jpg /home/falkor/source/idhash/non-duplicates/2_b.jpg 11 49 31.91 40.38 6.35 19.91
/home/falkor/source/idhash/non-duplicates/3_a.jpg /home/falkor/source/idhash/non-duplicates/3_b.jpg 20 50 35.43 36.13 6.01 16.96
/home/falkor/source/idhash/non-duplicates/4_a.jpg /home/falkor/source/idhash/non-duplicates/4_b.jpg 22 48 34.53 25.15 5.01 14.52
/home/falkor/source/idhash/non-duplicates/5_a.jpg /home/falkor/source/idhash/non-duplicates/5_b.jpg 21 46 34.95 32.73 5.72 16.37
/home/falkor/source/idhash/non-duplicates/6_a.jpg /home/falkor/source/idhash/non-duplicates/6_b.jpg 18 44 30.86 34.46 5.87 19.02
/home/falkor/source/idhash/non-duplicates/7_a.jpg /home/falkor/source/idhash/non-duplicates/7_b.jpg 21 53 37.78 33.63 5.80 15.35
/home/falkor/source/idhash/non-duplicates/8_a.jpg /home/falkor/source/idhash/non-duplicates/8_b.jpg 16 50 33.91 42.92 6.55 19.32
/home/falkor/source/idhash/non-duplicates/9_a.jpg /home/falkor/source/idhash/non-duplicates/9_b.jpg 14 48 35.25 41.47 6.44 18.27
/home/falkor/source/idhash/non-duplicates/10_a.jpg /home/falkor/source/idhash/non-duplicates/10_b.jpg 20 47 36.81 37.03 6.09 16.53
/home/falkor/source/idhash/non-duplicates/11_a.jpg /home/falkor/source/idhash/non-duplicates/11_b.jpg 14 46 33.76 39.44 6.28 18.60
/home/falkor/source/idhash/non-duplicates/12_a.jpg /home/falkor/source/idhash/non-duplicates/12_b.jpg 16 41 28.68 38.20 6.18 21.55
/home/falkor/source/idhash/non-duplicates/13_a.jpg /home/falkor/source/idhash/non-duplicates/13_b.jpg 8 44 31.49 47.79 6.91 21.95
/home/falkor/source/idhash/non-duplicates/14_a.jpg /home/falkor/source/idhash/non-duplicates/14_b.jpg 16 47 34.22 42.63 6.53 19.08
